fipstate_mapped,county,naics,est
MONTANA,Rosebud County,Educational Services,3
TEXAS,Rusk County,Educational Services,3
IOWA,Iowa County,Educational Services,3
MICHIGAN,Manistee County,Educational Services,3
SOUTH DAKOTA,Todd County,Educational Services,3
MICHIGAN,Iosco County,Educational Services,3
TENNESSEE,Bedford County,Educational Services,3
MICHIGAN,Huron County,Educational Services,3
TENNESSEE,Carroll County,Educational Services,3
MICHIGAN,Benzie County,Educational Services,3
MICHIGAN,Gladwin County,Educational Services,3
TENNESSEE,Coffee County,Educational Services,3
IOWA,Palo Alto County,Educational Services,3
TEXAS,Panola County,Educational Services,3
TENNESSEE,Dickson County,Educational Services,3
IOWA,Winnebago County,Educational Services,3
TEXAS,Upshur County,Educational Services,3
IOWA,Howard County,Educational Services,3
IOWA,Hamilton County,Educational Services,3
IOWA,Grundy County,Educational Services,3
IOWA,Fayette County,Educational Services,3
TEXAS,Ward County,Educational Services,3
MICHIGAN,Menominee County,Educational Services,3
IOWA,Clinton County,Educational Services,3
IOWA,Clayton County,Educational Services,3
IOWA,Clay County,Educational Services,3
MICHIGAN,Missaukee County,Educational Services,3
SOUTH DAKOTA,Custer County,Educational Services,3
SOUTH DAKOTA,Clay County,Educational Services,3
SOUTH DAKOTA,Charles Mix County,Educational Services,3
IOWA,Benton County,Educational Services,3
IOWA,Appanoose County,Educational Services,3
MICHIGAN,Oceana County,Educational Services,3
TEXAS,Milam County,Educational Services,3
KANSAS,Brown County,Educational Services,3
VIRGINIA,Radford city,Educational Services,3
KENTUCKY,Fleming County,Educational Services,3
LOUISIANA,Evangeline Parish,Educational Services,3
KENTUCKY,Carter County,Educational Services,3
LOUISIANA,Allen Parish,Educational Services,3
TEXAS,Bandera County,Educational Services,3
TEXAS,Fannin County,Educational Services,3
KENTUCKY,Whitley County,Educational Services,3
KENTUCKY,Floyd County,Educational Services,3
KANSAS,Clay County,Educational Services,3
KENTUCKY,Hancock County,Educational Services,3
KENTUCKY,Taylor County,Educational Services,3
KENTUCKY,Ohio County,Educational Services,3
TEXAS,Brewster County,Educational Services,3
TEXAS,Calhoun County,Educational Services,3
TEXAS,Clay County,Educational Services,3
TENNESSEE,Weakley County,Educational Services,3
KENTUCKY,Anderson County,Educational Services,3
LOUISIANA,Madison Parish,Educational Services,3
KANSAS,Sumner County,Educational Services,3
KANSAS,Pottawatomie County,Educational Services,3
LOUISIANA,Pointe Coupee Parish,Educational Services,3
LOUISIANA,Richland Parish,Educational Services,3
LOUISIANA,St. Helena Parish,Educational Services,3
KANSAS,Marion County,Educational Services,3
KANSAS,Geary County,Educational Services,3
KANSAS,Franklin County,Educational Services,3
KANSAS,Ford County,Educational Services,3
MARYLAND,Somerset County,Educational Services,3
MICHIGAN,Antrim County,Educational Services,3
TEXAS,Lee County,Educational Services,3
TENNESSEE,Jefferson County,Educational Services,3
TEXAS,Llano County,Educational Services,3
SOUTH CAROLINA,Union County,Educational Services,3
SOUTH CAROLINA,Saluda County,Educational Services,3
MINNESOTA,Faribault County,Educational Services,3
MISSOURI,Butler County,Educational Services,3
MISSOURI,Gasconade County,Educational Services,3
MISSOURI,Dunklin County,Educational Services,3
VIRGINIA,King George County,Educational Services,3
MISSOURI,Douglas County,Educational Services,3
MISSOURI,Dent County,Educational Services,3
MISSOURI,Cedar County,Educational Services,3
MISSISSIPPI,Yazoo County,Educational Services,3
SOUTH CAROLINA,Marlboro County,Educational Services,3
ILLINOIS,Franklin County,Educational Services,3
ILLINOIS,Iroquois County,Educational Services,3
MISSISSIPPI,Wilkinson County,Educational Services,3
MISSISSIPPI,Walthall County,Educational Services,3
MISSISSIPPI,Tate County,Educational Services,3
ILLINOIS,McDonough County,Educational Services,3
ILLINOIS,Bond County,Educational Services,3
MISSOURI,Macon County,Educational Services,3
MISSOURI,Miller County,Educational Services,3
VIRGINIA,Manassas Park city,Educational Services,3
KENTUCKY,Knox County,Educational Services,3
VIRGINIA,Martinsville city,Educational Services,3
MISSOURI,Saline County,Educational Services,3
MISSOURI,Scott County,Educational Services,3
IDAHO,Clearwater County,Educational Services,3
MISSOURI,Wright County,Educational Services,3
IDAHO,Boundary County,Educational Services,3
VIRGINIA,Page County,Educational Services,3
VIRGINIA,Patrick County,Educational Services,3
MONTANA,Beaverhead County,Educational Services,3
MONTANA,Deer Lodge County,Educational Services,3
PENNSYLVANIA,Clinton County,Educational Services,3
GEORGIA,Stephens County,Educational Services,3
PENNSYLVANIA,Wyoming County,Educational Services,3
MISSISSIPPI,Noxubee County,Educational Services,3
MISSISSIPPI,Monroe County,Educational Services,3
VIRGINIA,Alleghany County,Educational Services,3
INDIANA,Scott County,Educational Services,3
SOUTH CAROLINA,Marion County,Educational Services,3
MINNESOTA,Koochiching County,Educational Services,3
INDIANA,Perry County,Educational Services,3
INDIANA,Parke County,Educational Services,3
MINNESOTA,Meeker County,Educational Services,3
MINNESOTA,Mille Lacs County,Educational Services,3
INDIANA,Jennings County,Educational Services,3
MINNESOTA,Redwood County,Educational Services,3
SOUTH CAROLINA,Edgefield County,Educational Services,3
INDIANA,Henry County,Educational Services,3
INDIANA,Harrison County,Educational Services,3
SOUTH CAROLINA,Colleton County,Educational Services,3
MINNESOTA,Wabasha County,Educational Services,3
SOUTH CAROLINA,Chester County,Educational Services,3
ILLINOIS,Ogle County,Educational Services,3
MINNESOTA,Waseca County,Educational Services,3
MISSISSIPPI,Amite County,Educational Services,3
MISSISSIPPI,Bolivar County,Educational Services,3
SOUTH CAROLINA,Barnwell County,Educational Services,3
VIRGINIA,Brunswick County,Educational Services,3
MISSISSIPPI,Calhoun County,Educational Services,3
MISSISSIPPI,Chickasaw County,Educational Services,3
VIRGINIA,Charles City County,Educational Services,3
ILLINOIS,Union County,Educational Services,3
ILLINOIS,Shelby County,Educational Services,3
ILLINOIS,Schuyler County,Educational Services,3
MISSISSIPPI,Copiah County,Educational Services,3
VIRGINIA,Covington city,Educational Services,3
VIRGINIA,Dinwiddie County,Educational Services,3
WYOMING,Uinta County,Educational Services,3
